train_number,route_distance_km,current_speed_kmph,current_delay_min,previous_delay_min,weather_factor,traffic_factor,future_delay_min
12123,180,68,18,15,0,1,10
12123,180,65,20,18,1,1,12
12123,180,72,10,8,0,0,5
12123,180,60,25,22,1,1,15
12123,180,70,15,12,0,1,8
12123,180,55,30,28,1,1,18
12123,180,75,5,4,0,0,3
12123,180,62,22,20,1,0,11
12123,180,69,17,15,0,1,9
12123,180,58,27,25,1,1,16
12123,180,67,19,16,0,1,10
12123,180,64,21,19,1,0,11
12123,180,71,12,10,0,1,6
12123,180,63,23,21,1,1,13
12123,180,73,8,6,0,0,4
12123,180,59,26,24,1,1,15
12123,180,76,4,3,0,0,2
12123,180,61,24,22,1,0,12
12123,180,66,16,14,0,1,9
12123,180,57,29,27,1,1,17
12123,180,69,14,11,0,0,7
12123,180,62,20,17,0,1,11
12123,180,74,7,5,0,0,3
12123,180,56,31,29,1,1,18
12123,180,68,18,16,1,0,10
12123,180,70,13,10,0,1,7
12123,180,60,28,26,1,1,16
12123,180,77,3,2,0,0,2
12123,180,65,22,20,1,0,12
12123,180,72,9,7,0,1,5
